date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:35:22	120/120	---M--	200	added ('OK')	image/png	etag:%2278-5427ef322a600%22	http://frontend.big-skins.com/seiko/html/images/flags/den.png	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/images/flags/den.png	(from http://frontend.big-skins.com/seiko/html/)
20:35:23	64892/64892	---M-Z	200	added ('OK')	text/html	etag:%22fd7c-55342c9ac1c00-gzip%22	http://frontend.big-skins.com/seiko/html/account-create.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/account-create.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:23	131235/131235	---M-Z	200	added ('OK')	text/html	etag:%22200a3-55342ca633700-gzip%22	http://frontend.big-skins.com/seiko/html/index.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/index-2.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:24	135242/135242	---M-Z	200	added ('OK')	text/html	etag:%222104a-55342ca633700-gzip%22	http://frontend.big-skins.com/seiko/html/index-bg-white.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/index-bg-white.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:24	137257/137257	---M-Z	200	added ('OK')	text/html	etag:%2221829-55342ca81bb80-gzip%22	http://frontend.big-skins.com/seiko/html/index-layout-6.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/index-layout-6.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:25	102508/102508	---M-Z	200	added ('OK')	text/html	etag:%221906c-55342ca633700-gzip%22	http://frontend.big-skins.com/seiko/html/index-layout-1.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/index-layout-1.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:26	76446/76446	---M-Z	200	added ('OK')	text/html	etag:%2212a9e-55342ca633700-gzip%22	http://frontend.big-skins.com/seiko/html/index-layout-2.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/index-layout-2.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:26	97475/97475	---M-Z	200	added ('OK')	text/html	etag:%2217cc3-55342ca81bb80-gzip%22	http://frontend.big-skins.com/seiko/html/index-layout-3.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/index-layout-3.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:26	133188/133188	---M-Z	200	added ('OK')	text/html	etag:%2220844-55342ca633700-gzip%22	http://frontend.big-skins.com/seiko/html/index-fullscreen-slider.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/index-fullscreen-slider.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:27	112018/112018	---M-Z	200	added ('OK')	text/html	etag:%221b592-55342ca81bb80-gzip%22	http://frontend.big-skins.com/seiko/html/index-layout-4.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/index-layout-4.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:28	94004/94004	---M-Z	200	added ('OK')	text/html	etag:%2216f34-55342ca81bb80-gzip%22	http://frontend.big-skins.com/seiko/html/index-layout-5.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/index-layout-5.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:28	132981/132981	---M-Z	200	added ('OK')	text/html	etag:%2220775-55342caa04000-gzip%22	http://frontend.big-skins.com/seiko/html/index-rtl.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/index-rtl.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:29	134097/134097	---M-Z	200	added ('OK')	text/html	etag:%2220bd1-55342caa04000-gzip%22	http://frontend.big-skins.com/seiko/html/index-popup.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/index-popup.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:29	125157/125157	---M-Z	200	added ('OK')	text/html	etag:%221e8e5-582a27c94e980-gzip%22	http://frontend.big-skins.com/seiko/html/category-fixed-sidebar.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/category-fixed-sidebar.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:30	124955/124955	---M-Z	200	added ('OK')	text/html	etag:%221e81b-55342c9caa080-gzip%22	http://frontend.big-skins.com/seiko/html/category.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/category.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:31	121770/121770	---M-Z	200	added ('OK')	text/html	etag:%221dbaa-55342c9e92500-gzip%22	http://frontend.big-skins.com/seiko/html/category-no-filter.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/category-no-filter.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:31	62484/62484	---M-Z	200	added ('OK')	text/html	etag:%22f414-55342c9e92500-gzip%22	http://frontend.big-skins.com/seiko/html/category-empty.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/category-empty.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:32	129557/129557	---M-Z	200	added ('OK')	text/html	etag:%221fa15-55342c9caa080-gzip%22	http://frontend.big-skins.com/seiko/html/category-2-per-row.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/category-2-per-row.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:32	123603/123603	---M-Z	200	added ('OK')	text/html	etag:%221e2d3-55342c9e92500-gzip%22	http://frontend.big-skins.com/seiko/html/category-3-per-row.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/category-3-per-row.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:33	123562/123562	---M-Z	200	added ('OK')	text/html	etag:%221e2aa-55342c9e92500-gzip%22	http://frontend.big-skins.com/seiko/html/category-4-per-row.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/category-4-per-row.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:34	123554/123554	---M-Z	200	added ('OK')	text/html	etag:%221e2a2-55342c9e92500-gzip%22	http://frontend.big-skins.com/seiko/html/category-5-per-row.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/category-5-per-row.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:34	105654/105654	---M-Z	200	added ('OK')	text/html	etag:%2219cb6-55342caa04000-gzip%22	http://frontend.big-skins.com/seiko/html/product.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/product.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:35	104450/104450	---M-Z	200	added ('OK')	text/html	etag:%2219802-55342cabec480-gzip%22	http://frontend.big-skins.com/seiko/html/product-image-small.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/product-image-small.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:36	104450/104450	---M-Z	200	added ('OK')	text/html	etag:%2219802-55342cabec480-gzip%22	http://frontend.big-skins.com/seiko/html/product-image-medium.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/product-image-medium.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:36	104450/104450	---M-Z	200	added ('OK')	text/html	etag:%2219802-55342cabec480-gzip%22	http://frontend.big-skins.com/seiko/html/product-image-medium-plus.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/product-image-medium-plus.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:37	103524/103524	---M-Z	200	added ('OK')	text/html	etag:%2219464-55342cabec480-gzip%22	http://frontend.big-skins.com/seiko/html/product-image-large.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/product-image-large.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:38	96138/96138	---M-Z	200	added ('OK')	text/html	etag:%221778a-55342cabec480-gzip%22	http://frontend.big-skins.com/seiko/html/product-creative.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/product-creative.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:38	79136/79136	---M-Z	200	added ('OK')	text/html	etag:%2213520-55342ca262e00-gzip%22	http://frontend.big-skins.com/seiko/html/header-variant-1.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/header-variant-1.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:39	75785/75785	---M-Z	200	added ('OK')	text/html	etag:%2212809-55342ca262e00-gzip%22	http://frontend.big-skins.com/seiko/html/header-variant-2.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/header-variant-2.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:40	75800/75800	---M-Z	200	added ('OK')	text/html	etag:%2212818-55342ca44b280-gzip%22	http://frontend.big-skins.com/seiko/html/header-variant-3.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/header-variant-3.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:40	68438/68438	---M-Z	200	added ('OK')	text/html	etag:%2210b56-55342ca44b280-gzip%22	http://frontend.big-skins.com/seiko/html/header-variant-4.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/header-variant-4.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:41	68016/68016	---M-Z	200	added ('OK')	text/html	etag:%22109b0-55342ca44b280-gzip%22	http://frontend.big-skins.com/seiko/html/header-variant-5.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/header-variant-5.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:41	67645/67645	---M-Z	200	added ('OK')	text/html	etag:%221083d-55342ca44b280-gzip%22	http://frontend.big-skins.com/seiko/html/header-variant-6.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/header-variant-6.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:42	69304/69304	---M-Z	200	added ('OK')	text/html	etag:%2210eb8-55342ca44b280-gzip%22	http://frontend.big-skins.com/seiko/html/header-variant-7.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/header-variant-7.html	(from http://frontend.big-skins.com/seiko/html/)
